"Suburb","Address","Rooms","Type","Method","Seller","Date","Distance","Postcode","Bedroom","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Latitude","Longtitude","Regionname","Propertycount","ParkingArea","Price"
"Airport West","154 Halsey Rd",3,"Townhouse","PI","Nelson","3/9/16",13.5,3042,3,2,1,303,225,2016,"Moonee Valley City Council",-37.718,144.878,"Western",3464,"Detached Garage",840000
"Albert Park","105 Kerferd Rd",2,"House","S","hockingstuart","3/9/16",3.3,3206,2,1,0,120,82,1900,"Port Phillip City Council",-37.8459,144.9555,"Southern",3280,"Attached Garage",1275000
"Albert Park","85 Richardson St",2,"House","S","Thomson","3/9/16",3.3,3206,2,1,0,159,160.2800156,1970,"Port Phillip City Council",-37.845,144.9538,"Southern",3280,"Indoor",1455000
"Alphington","6 Smith St",4,"House","S","Brace","3/9/16",6.4,3078,3,2,4,853,263,1930,"Darebin City Council",-37.7707,145.0318,"Northern",2211,"Underground",2000000
"Alphington","5/6 Yarralea St",3,"House","S","Jellis","3/9/16",6.4,3078,3,2,2,208,160.2800156,2013,"Darebin City Council",-37.7854,145.0325,"Northern",2211,"Outdoor Stall",1110000
"Altona","158 Queen St",3,"House","VB","Greg","3/9/16",13.8,3018,3,2,1,352,242,2015,"Hobsons Bay City Council",-37.87,144.825,"Western",5301,"Parking Pad",520000
"Altona North","45 Hearn St",5,"House","S","FN","3/9/16",11.1,3025,5,3,6,592,251,1965,"Hobsons Bay City Council",-37.8388,144.8567,"Western",5132,"Detached Garage",1085000
"Altona North","4 Knapp St",3,"House","S","Jas","3/9/16",11.1,3025,3,1,2,533,117,1970,"Hobsons Bay City Council",-37.8291,144.835,"Western",5132,"Attached Garage",781000
"Armadale","8/19 Mercer Rd",2,"Unit","S","Jellis","3/9/16",6.3,3143,2,1,1,557,76,1964,"Stonnington City Council",-37.8543,145.0262,"Southern",4836,"Underground",599000
"Ascot Vale","2/43 Roxburgh St",2,"Unit","S","Nelson","3/9/16",5.9,3032,3,1,2,557,160.2800156,1970,"Moonee Valley City Council",-37.7756,144.9165,"Western",6567,"Detached Garage",455000
"Ashburton","61 Dent St",4,"House","S","Marshall","3/9/16",11,3147,4,3,2,753,399,2015,"Boroondara City Council",-37.8669,145.0767,"Southern",3052,"Attached Garage",2650000
"Ashwood","18 Teck St",2,"House","S","Tim","3/9/16",12.2,3147,2,1,1,583,160.2800156,1950,"Monash City Council",-37.8693,145.1082,"Southern",2894,"Carport",995000
"Avondale Heights","8 Norma Ct",3,"House","S","Moonee","3/9/16",10.5,3034,3,1,1,593,118,1970,"Moonee Valley City Council",-37.7677,144.8674,"Western",4502,"Attached Garage",850000
"Avondale Heights","9 Rogerson St",3,"House","SP","Moonee","3/9/16",10.5,3034,3,1,1,557,103,1980,"Moonee Valley City Council",-37.7634,144.8611,"Western",4502,"Indoor",750000
"Balaclava","18 Linton St",4,"House","S","Gary","3/9/16",6.6,3183,3,2,1,244,180,1900,"Port Phillip City Council",-37.8668,144.9928,"Southern",2952,"Parkade",1819000
"Balwyn","166 Gordon St",2,"House","S","Marshall","3/9/16",9.7,3103,2,1,1,659,123,1920,"Boroondara City Council",-37.8094,145.0807,"Southern",5682,"Outdoor Stall",2100000
"Balwyn","36 Narrak Rd",4,"House","VB","Marshall","3/9/16",9.7,3103,4,2,2,715,218,1985,"Boroondara City Council",-37.811,145.0958,"Southern",5682,"Carport",1800000
"Balwyn","2/16 Westminster St",2,"Townhouse","S","Noel","3/9/16",9.7,3103,2,1,1,208,129,2000,"Boroondara City Council",-37.8128,145.0975,"Southern",5682,"Detached Garage",1255000
"Balwyn North","3/41 Clifton St",3,"Townhouse","S","hockingstuart","3/9/16",9.2,3104,3,2,2,260,167,2000,"Boroondara City Council",-37.7966,145.1021,"Southern",7809,"Attached Garage",1315000
"Balwyn North","153 Doncaster Rd",3,"House","PI","Jellis","3/9/16",9.2,3104,3,2,1,778,154,1950,"Boroondara City Council",-37.7939,145.0789,"Southern",7809,"Indoor",1500000
"Balwyn North","19 Jacka St",4,"House","S","Jellis","3/9/16",9.2,3104,4,4,3,1135,275,1960,"Boroondara City Council",-37.8014,145.0892,"Southern",7809,"Parkade",3230000
"Balwyn North","32 Jaserfold St",2,"House","S","Jellis","3/9/16",9.2,3104,2,1,1,253,160.2800156,1970,"Boroondara City Council",-37.7912,145.085,"Southern",7809,"Carport",1080000
"Bentleigh","5/205 Centre Rd",2,"Unit","S","hockingstuart","3/9/16",13,3204,2,1,2,202,160.2800156,1974,"Glen Eira City Council",-37.9165,145.0259,"Southern",6795,"Indoor",636000
